"Species","OFL_original","OFL_wcgbts_only_retro","OFL_wcgbts_no_ages","OFL_catch_only","OFL_ratio_wcgbts_only_retro","OFL_ratio_wcgbts_no_ages","OFL_ratio_catch_only"
"Dover sole",55859,55051,47795.3,48158,0.99,0.86,0.86
"Canary rockfish",655,631,423.888,182.565,0.96,0.65,0.28
"Petrale sole",2424,2564,2534.32,2862.38,1.06,1.05,1.18
"Pacific spiny dogfish",1883,1600,1599.69,2127.52,0.85,0.85,1.13
"Sablefish",16240,23178,17060.8,3308.8,1.43,1.05,0.2
"Yellowtail rockfish",4882,2576,3591,3810.53,0.53,0.74,0.78
"Rougheye/blackspotted rockfish",955,2535140,1050.76,2283180,2654.6,1.1,2390.76
